EXTRA_INFO_CODE,EXTRA_INFO_CODE_DESCRIPTION,EXTRA_INFO_LONG_DESCRIPTION
25,Two or more types of auxiliary markers.,"Two or more types of auxiliary markers (e.g., neck collar and color leg band or wing tag and radio transmitter). All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of auxiliary markers."
30,"Double-banded with Federal bands, plus auxiliary marker(s).","Double banded with TWO Federal bands (see 07), plus one or more auxiliary marker. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for double banding and the use of auxiliary markers. This code does not apply to a bird to whom a second band was added at a subsequent encounter."
59,"Web tagged, usually coded.",Web tagged - Marker must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of web tags.
69,"Flag, streamer, or tab on leg.","Flag, streamer, or tab on leg - Marker must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of leg markers."
70,Captured by spotlighting.,"Spotlighted. Use with status codes 2, 3, 5 and 8 only."
71,"Captured by spotlighting, plus auxiliary marker(s).","Spotlighted, plus one or more auxiliary markers used. All markers must be described in marker-related fields. Use with status codes 2, 3, 5 and 8 only. Approval from the appropriate Banding Office is needed for use of auxiliary markers."
87,Captured with drugs or tranquilizers.,Captured by means of drugs or tranquilizers. Use with all status codes except 4.
88,"Captured with drugs or tranquilizers, plus auxiliary marker(s).","Captured by means of drugs or tranquilizers, plus one or more auxiliary markers. All markers must be described in marker-related fields. Use with all status codes except 4."
89,"Transmitter. (Obsolete, see 80, 81)","Equipped with transmitter only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in ""Remarks"". Approval from the appropriate Banding Office is needed for use of radio transmitters."
99,(none).,(none)
0,Federal numbered metal band only.,Federal numbered metal band only.
2,Neck collar - usually coded.,Neck collar - Collar codes and colors must be reported in marker-related fields. Approval from the appropriate Banding Office is needed for use of neck collars.
3,Reward band (Federal or State).,Reward band (Federal or State) - Approval from the appropriate Banding Office is needed for reward band use. Use with status code 3 only.
4,Control band (Reward band studies only).,Control band - For use in conjunction with reward band studies only. Use with status code 3 only.
7,Double-banded (Two Federal bands placed on a bird at the same time),Two Federal bands placed on a bird at the same time. One Federal band on each tarsus -- two metal bands cannot be used on the same tarsus. This code does not apply to a bird to whom a second band was added at a subsequent encounter. Approval from the appropriate Banding Office is needed for double-banding.
8,"Temporary markers: Paint or dye; other temporary markers on feathers (imping, tape on tail).","Temporary markers - Any part of bird painted or dyed, or other temporary markers on feathers (e.g., imping, tail streamers, etc.). Approval from the appropriate Banding Office is needed for use of temporary markers on birds."
9,All flight feathers on one or both wings clipped or pulled upon release.,"All flight feathers on one or both wings clipped or pulled upon release. Use with status 2, 3, 4 or 8 only."
11,Sexed by laparotomy or laparoscopy.,Sexed by laparotomy or laparoscopy.
12,"Sexed by laparotomy or laparoscopy, plus auxiliary marker(s).","Sexed by laparotomy or laparoscopy, plus one or more auxiliary markers. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for auxiliary markers."
41,"Oiled, plus one or more auxiliary markers used.","Oiled. Plus one or more auxiliary markers used. All markers must be described in marker-related fields. Use with status codes 4, 5 and 7 only. Approval from the appropriate Banding Office is needed for use of auxiliary markers."
75,PIT tag,"Equipped with PIT tag only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in ""Remarks"". Approval from the appropriate Banding Office is needed for use of PIT tags."
80,Satellite/Cell/GPS transmitter,"Equipped with Satellite/Cell/GPS transmitter only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in ""Remarks"". Approval from the appropriate Banding Office is needed for use of Satellite/Cell/GPS transmitters."
81,Radio transmitter.,"Equipped with radio transmitter only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in ""Remarks"". Approval from the appropriate Banding Office is needed for use of radio transmitters."
90,Data logger (including geolocators),"Equipped with data logger only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in ""Remarks"". Approval from the appropriate Banding Office is needed for use of data loggers."
--,"Banding or trapping mortality (no band, aux. marker or other info applied).","Banding or trapping mortality (no band, aux. marker or other info applied). Band number assigned by BBL."
14,Mouth swab.,Mouth swab.
15,"Mouth swab, plus one or more auxiliary markers used.","Mouth swab, plus one or more auxiliary markers used. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for auxiliary markers."
16,Tracheal swab.,Tracheal swab.
17,"Tracheal swab, plus one or more auxiliary markers used.","Tracheal swab, plus one or more auxiliary markers used. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for auxiliary markers."
