"band","event_date","species_name","age_description","sex_description"
"B01904836660","1/17/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836744","1/21/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836828","1/24/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836903","1/28/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836986","1/24/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837149","1/21/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837220","1/19/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837304","1/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837388","1/18/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837463","1/16/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837621","2/14/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837709","2/13/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837780","2/13/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904837864","2/9/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904915945","3/17/02","Great Crested Flycatcher","After Hatching Year","Unknown"
"B01924380068","3/10/06","Brown-crested Flycatcher","Second Year","Unknown"
"B01924380140","2/28/06","Brown-crested Flycatcher","Second Year","Unknown"
"B01924380221","2/13/06","Tropical Kingbird","After Second Year","Male"
"B01924380309","1/27/06","Brown-crested Flycatcher","After Second Year","Unknown"
"B01924380382","2/9/06","Tropical Kingbird","Second Year","Unknown"
"B01924380543","3/3/05","Brown-crested Flycatcher","After Hatching Year","Unknown"
"B01924380628","12/24/06","Brown-crested Flycatcher","After Hatching Year","Unknown"
"B01924380942","3/10/06","Brown-crested Flycatcher","Second Year","Unknown"
"B01924381033","11/29/04","Brown-crested Flycatcher","Hatching Year","Unknown"
"B01924388079","2/26/08","Brown-crested Flycatcher","After Second Year","Unknown"
"B01934921031","11/12/88","Gray Kingbird","Hatching Year","Unknown"
"B01934978078","3/26/09","Brown-crested Flycatcher","Second Year","Unknown"
"B01944142079","11/11/90","Loggerhead Kingbird","Unknown","Unknown"
"B01954815031","2/14/97","Loggerhead Kingbird","Second Year","Unknown"
"B01974254072","2/6/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01974466079","2/20/04","Loggerhead Shrike","After Second Year","Unknown"
"B01974551031","2/19/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01974553034","3/1/04","Loggerhead Shrike","Second Year","Unknown"
"B01974875034","4/7/00","Gray Kingbird","After Hatching Year","Female"
"B01984371033","10/24/95","Great Crested Flycatcher","Hatching Year","Unknown"
"B01994407031","11/5/98","Great Crested Flycatcher","Unknown","Unknown"
"B01994407657","10/25/99","Great Crested Flycatcher","Unknown","Unknown"
"B06433530466","3/9/03","Least Flycatcher","After Hatching Year","Unknown"
"B06433530544","3/6/03","Least Flycatcher","After Hatching Year","Unknown"
"B06433531034","2/20/03","Least Flycatcher","After Second Year","Unknown"
"B06433950305","1/31/96","Cuban Pewee","After Hatching Year","Unknown"
"B06433950380","2/8/96","Cuban Pewee","After Hatching Year","Unknown"
"B06433950623","2/18/96","White-eyed Vireo","Second Year","Unknown"
"B06433950703","2/18/96","White-eyed Vireo","After Hatching Year","Unknown"
"B06433954079","12/17/95","Cuban Pewee","Unknown","Unknown"
"B06433980863","11/23/95","Cuban Pewee","Unknown","Unknown"
"B06443012442","1/23/96","Philadelphia Vireo","After Hatching Year","Unknown"
"B06443015161","1/12/96","Philadelphia Vireo","After Hatching Year","Unknown"
"B06443015886","1/15/96","Yellow-bellied Flycatcher","Second Year","Unknown"
"B06443015964","1/15/96","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B06443440070","2/23/11","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B06443440944","2/24/11","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B07464856077","4/18/17","Red-eyed Vireo","After Hatching Year","Unknown"
"B07464857035","4/8/17","Red-eyed Vireo","After Hatching Year","Unknown"
"B07464895038","4/25/17","Red-eyed Vireo","Second Year","Unknown"
"B07473704537","10/5/10","Traill's Flycatcher","After Hatching Year","Unknown"
"B08593312078","3/17/83","Gray Flycatcher","After Hatching Year","Unknown"
"B07483300053","10/8/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483300063","10/10/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483300133","10/7/09","Red-eyed Vireo","Hatching Year","Unknown"
"B07483300140","10/7/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483300220","10/6/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483300290","10/6/09","Red-eyed Vireo","Hatching Year","Unknown"
"B07483300307","10/5/09","Traill's Flycatcher","After Hatching Year","Unknown"
"B07483300384","10/5/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483300543","10/1/09","Traill's Flycatcher","After Hatching Year","Unknown"
"B07483300613","11/14/09","Traill's Flycatcher","After Hatching Year","Unknown"
"B07483300623","11/14/09","Traill's Flycatcher","After Hatching Year","Unknown"
"B07483300693","11/14/09","Traill's Flycatcher","After Hatching Year","Unknown"
"B07483300700","11/10/09","Red-eyed Vireo","Hatching Year","Unknown"
"B07483300937","10/19/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483300944","10/11/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483309093","3/24/10","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483309170","3/19/10","Red-eyed Vireo","Second Year","Unknown"
"B07483309337","12/7/09","Red-eyed Vireo","After Hatching Year","Unknown"
"B07483309653","9/30/10","Traill's Flycatcher","After Hatching Year","Unknown"
"B07483309819","9/25/10","Traill's Flycatcher","Hatching Year","Unknown"
"B06443890624","3/13/02","Hammond's Flycatcher","After Hatching Year","Unknown"
"B09074205415","9/27/84","Gray Kingbird","Unknown","Unknown"
"B09074205454","9/9/83","Gray Kingbird","After Hatching Year","Unknown"
"B07503055007","4/18/13","Least Flycatcher","After Second Year","Unknown"
"B07503055160","3/14/12","Warbling Vireo","Second Year","Unknown"
"B07503055300","4/8/10","Warbling Vireo","After Second Year","Unknown"
"B07503055320","1/14/10","Bell's Vireo","Second Year","Unknown"
"B07503055485","1/13/10","Least Flycatcher","Second Year","Unknown"
"B08603042020","6/29/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042040","6/29/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042078","7/4/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042103","6/25/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042180","6/26/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042824","7/19/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042848","7/17/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042902","7/14/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042926","7/14/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603042988","7/16/95","Jamaican Vireo","After Hatching Year","Unknown"
"B08603099083","11/19/77","Acadian Flycatcher","Unknown","Unknown"
"B08603210428","10/10/74","Yellow-bellied Flycatcher","Unknown","Unknown"
"B08603210506","10/10/74","Yellow-bellied Flycatcher","Unknown","Unknown"
"B08603218268","1/26/75","Traill's Flycatcher","After Hatching Year","Unknown"
"B07504618028","6/4/10","Black-whiskered Vireo","After Hatching Year","Unknown"
"B07504618107","4/20/10","Black-whiskered Vireo","After Hatching Year","Unknown"
"B07504618185","4/27/10","Black-whiskered Vireo","After Hatching Year","Unknown"
"B07514549034","3/29/11","Tropical Kingbird","After Second Year","Male"
"B07523365032","4/10/07","Yellow-green Vireo","After Hatching Year","Unknown"
"B08604501788","2/28/87","Dusky-capped Flycatcher","After Hatching Year","Unknown"
"B08604950220","2/28/86","Ash-throated Flycatcher","After Hatching Year","Unknown"
"B07533880075","2/3/05","Gray Flycatcher","After Second Year","Unknown"
"B07533880627","11/14/05","Gray Flycatcher","After Hatching Year","Unknown"
"B07533880783","11/14/05","Dusky Flycatcher","Hatching Year","Unknown"
"B07533916073","5/7/05","Western Flycatcher","After Second Year","Unknown"
"B07533932077","5/27/05","Hammond's Flycatcher","Second Year","Unknown"
"B07534582078","4/8/11","Red-eyed Vireo","Second Year","Unknown"
"B07543070140","4/1/07","Philadelphia Vireo","After Hatching Year","Unknown"
"B07543070445","3/19/07","Philadelphia Vireo","After Hatching Year","Unknown"
"B07543070603","10/15/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543070627","10/15/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543070680","10/15/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543070700","10/5/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543070865","10/2/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543070944","4/20/07","Philadelphia Vireo","After Hatching Year","Unknown"
"B07543071084","2/16/07","Philadelphia Vireo","After Hatching Year","Unknown"
"B07543071961","2/22/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543072073","3/9/06","Philadelphia Vireo","After Hatching Year","Unknown"
"B07543072204","2/16/06","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543072283","2/20/06","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543072360","2/9/06","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07543072843","4/12/06","Western Wood-Pewee","After Hatching Year","Unknown"
"B08613210942","11/3/03","White-eyed Vireo","Unknown","Unknown"
"B08613219036","10/27/04","White-eyed Vireo","Unknown","Unknown"
"B08613776076","2/24/03","White-eyed Vireo","After Second Year","Unknown"
"B07553430623","12/4/07","Eastern Wood-Pewee","Hatching Year","Unknown"
"B07553440144","10/19/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07553797035","5/9/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07563034927","12/23/06","Philadelphia Vireo","After Hatching Year","Unknown"
"B08623850222","1/24/75","White-eyed Vireo","After Hatching Year","Unknown"
"B08623850540","1/11/75","Yellow-bellied Flycatcher","Second Year","Male"
"B08623850706","2/13/75","Least Flycatcher","After Hatching Year","Unknown"
"B08623850782","2/13/75","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B08623850863","2/12/75","Least Flycatcher","After Hatching Year","Female"
"B08623859036","3/5/75","White-eyed Vireo","After Hatching Year","Unknown"
"B07563282078","2/8/08","Warbling Vireo","After Second Year","Unknown"
"B07563286076","8/22/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07563870307","10/8/08","Red-eyed Vireo","After Hatching Year","Unknown"
"B07563870466","10/8/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07563870543","10/6/08","Red-eyed Vireo","After Hatching Year","Unknown"
"B07563870707","10/13/08","Red-eyed Vireo","Hatching Year","Unknown"
"B07563870867","10/13/08","Red-eyed Vireo","After Hatching Year","Unknown"
"B07563878077","1/27/08","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07563879037","2/3/09","Traill's Flycatcher","After Hatching Year","Unknown"
"B07573510060","1/15/10","Hammond's Flycatcher","After Second Year","Unknown"
"B07573510077","1/15/10","Hammond's Flycatcher","Second Year","Unknown"
"B07573510307","1/12/08","White-eyed Vireo","After Hatching Year","Unknown"
"B07573510465","1/10/08","White-eyed Vireo","Second Year","Unknown"
"B07573510943","1/15/10","Hammond's Flycatcher","Second Year","Unknown"
"B07573519037","1/21/09","Hammond's Flycatcher","After Second Year","Unknown"
"B07573573033","9/17/08","Alder Flycatcher","After Hatching Year","Unknown"
"B07573665036","1/29/06","Gray Flycatcher","After Second Year","Unknown"
"B07573676073","12/1/05","Pacific-slope Flycatcher","Unknown","Unknown"
"B07573852075","3/28/09","Warbling Vireo","After Hatching Year","Unknown"
"B07573880068","1/28/07","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B07573880780","2/11/07","Bell's Vireo","Second Year","Unknown"
"B07573880945","1/28/07","Black-capped Vireo","Second Year","Unknown"
"B07573897037","11/14/10","Bell's Vireo","Hatching Year","Unknown"
"B08633220783","9/4/76","Cuban Pewee","Hatching Year","Unknown"
"B07573980065","4/29/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573980077","4/29/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573980147","4/27/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573980223","4/27/06","Traill's Flycatcher","After Hatching Year","Unknown"
"B07573980309","4/26/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573980388","4/26/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573980460","4/24/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573980625","5/1/06","Least Flycatcher","After Hatching Year","Unknown"
