"band","event_date","species_name","band_type_description","bird_status_description","age_description","sex_description"
"B08833870070","3/19/65","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09164834079","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B09173175031","5/2/07","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B08024316016","11/23/06","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B08024520570","1/8/08","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B09193010600","1/24/89","Sad Flycatcher","aluminum\butt-end new address","Normal wild bird.","Second Year","Female"
"B08034553053","9/10/08","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B08034553373","3/5/08","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B08034553458","1/10/08","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B08034553613","1/12/10","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B08034553775","6/3/09","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B08034554415","11/7/06","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B08034554578","10/11/06","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B08034554733","6/22/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08034555210","11/26/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08034555374","11/24/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B08034555615","7/6/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B08034555698","7/21/06","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B08034555853","2/9/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B08044922179","6/2/05","Black Phoebe","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B09204011060","4/11/72","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08063140410","6/21/95","Bahama Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B08063140548","5/21/95","Bahama Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B08073619031","11/12/92","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08073711530","11/12/93","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female, sexed upon recapture"
"B08073717537","5/9/94","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B08073890893","6/5/93","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B08073899539","6/7/93","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08074737137","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08074737297","5/15/04","Loggerhead Shrike","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08074737938","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08074879539","1/28/05","Cassin's Kingbird","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B08104028680","2/3/08","Loggerhead Shrike","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B08104238344","7/6/10","Thick-billed Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B08104303383","3/23/05","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B08104331541","1/2/06","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B08104342104","2/19/11","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B08104866501","7/30/04","Ash-throated Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B08123160541","9/23/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08123165036","4/8/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B08134227033","5/2/03","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B08143330308","3/17/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08143330623","5/4/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B08143819039","12/4/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08174034201","3/28/09","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08203294109","3/24/07","Warbling Vireo","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B08203380508","10/15/90","Eastern Wood-Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08203380823","4/3/93","Eastern Wood-Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08203381468","10/17/88","Eastern Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08203778668","5/15/02","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B08203778987","5/26/00","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B08204160621","8/27/08","Dusky-capped Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B08214809170","10/16/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B08223100072","9/27/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223100222","9/15/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B08223100373","9/15/86","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223100381","9/15/86","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223100460","9/11/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223100530","8/30/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223100698","10/6/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223100863","10/2/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223101650","3/24/86","Northern Rough-winged Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223101731","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223101818","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223102053","11/8/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223102378","11/6/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223103033","10/21/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223103330","10/20/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223103572","10/19/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223103733","10/24/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223104212","10/15/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223104293","10/15/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223104450","9/25/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223104931","10/17/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223105095","9/21/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223105655","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B08223105738","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223105812","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223105892","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223105973","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08223109252","10/12/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223109333","10/12/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223109411","10/9/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08223109658","10/26/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B08223109971","10/19/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B08233010140","4/4/92","Thick-billed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09004490504","4/30/99","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09004492500","4/30/99","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B08273039809","4/10/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08274960946","8/3/00","Cassin's Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B09013749617","5/18/80","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09013749694","5/18/80","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08364850226","2/26/03","Yellow-bellied Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08383100781","1/16/97","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B09364530060","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364530079","2/21/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364530149","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364530465","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364530543","2/15/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364530709","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09364530783","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364530866","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09364530944","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09364531033","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09364539039","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09394074209","7/12/00","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09394325039","3/11/65","Purple Martin","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09051010860","1/19/19","Loggerhead Shrike","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B11904911521","3/6/06","Great Crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B11924381024","11/30/04","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B11924388328","3/8/07","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B11934921922","4/8/89","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B11934925529","5/4/90","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B11934978487","2/4/09","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B11934978568","1/12/09","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B09064564575","3/7/87","Purple Martin","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B09623553039","6/21/61","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B09624833033","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223100152","9/18/86","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223100208","9/15/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223100521","8/30/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223100600","10/6/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223101641","3/24/86","Northern Rough-winged Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223101661","3/24/86","Northern Rough-winged Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223101748","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223101801","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223101822","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223101888","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223103190","10/21/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223103243","10/20/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223103400","10/20/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223103568","10/19/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B18223104044","10/17/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B18223104128","10/17/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223104202","10/15/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223105080","9/21/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223105640","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223105725","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223105808","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B18223105882","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18223105962","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223109168","10/19/86","Eastern Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B18223109242","10/12/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223109322","10/12/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B18223109560","10/9/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B18223109649","10/26/86","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B18263919491","1/21/92","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18264183193","3/24/10","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B18264185116","3/20/04","Sulphur-bellied Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B18264185194","3/20/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B18274961742","7/24/02","Cassin's Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B18274961904","5/21/02","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B17283595119","9/19/17","Yellow-bellied Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B19064726156","5/2/87","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B17324721424","4/26/16","Bahama Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B17324721507","6/21/15","Bahama Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B17324722152","5/5/15","Bahama Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B17373125965","5/7/11","Vermilion Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Female"
"B17383058158","7/13/13","Black-capped Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B18444013014","4/19/93","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B18444314154","3/2/93","Dusky-capped Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B17413873307","2/5/09","Philadelphia Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B18473974159","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Second Year","Male"
"B18484126448","4/11/15","Red-eyed Vireo","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B17463641183","3/16/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B17463641266","3/15/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B17463641743","3/25/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B19103013579","10/5/95","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Unknown","Female"
"B17504618050","6/3/10","Black-whiskered Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B17514548424","4/3/11","Brown-crested Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Second Year","Male"
"B18544626156","5/15/02","Eastern Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B17583013578","5/2/07","Unidentified Empidonax","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B18554375195","6/12/03","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B17604172120","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B17604172157","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17604172204","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17604172281","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B17604175004","5/13/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B17604175081","5/13/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B17604175167","5/12/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17604175641","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17604175727","5/29/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B17604175805","5/22/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17604175887","5/22/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17604175966","5/19/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17613241263","5/6/04","Warbling Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B17613241587","5/5/04","Warbling Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B17613241781","5/8/04","Western Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B17613545387","2/21/07","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B17613938157","2/25/06","Violet-green Swallow","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
