"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
10,"Star Wars: Episode I - The Phantom Menace (1999)","cartoonish","[Batman Begins (2005)]","[Jurassic Park (1993),Back to the Future (1985),Back to the Future Part III (1990),Star Wars: Episode V - The Empire Strikes Back (1980),The Terminator (1984)]","[Shrek (2001),The Little Mermaid (1989),The Wizard of Oz (1939),Clueless (1995)]"
10,"Gone with the Wind (1939)","cheesy","[Jurassic Park (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Robin Hood: Men in Tights (1993),Star Trek II: The Wrath of Khan (1982),The Blair Witch Project (1999),Fight Club (1999),Jaws (1975)]","[The Princess Bride (1987)]","[Aladdin (1992),Forrest Gump (1994)]"
10,"Blade Runner (1982)","complicated","[Dumb & Dumber (Dumb and Dumber) (1994),Mary Poppins (1964),Pretty Woman (1990),Shrek 2 (2004),The Wizard of Oz (1939)]","[Spider-Man (2002),The Dark Knight (2008)]","[The Godfather: Part II (1974),The Lost World: Jurassic Park (1997),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)]"
10,"To Kill a Mockingbird (1962)","confusing","[Shrek (2001),Home Alone (1990),The Princess Bride (1987),The Nightmare Before Christmas (1993),Shrek 2 (2004)]","[Austin Powers: The Spy Who Shagged Me (1999),Back to the Future Part II (1989),The Godfather: Part II (1974)]","[The Dark Knight (2008),Star Wars: Episode IV - A New Hope (1977)]"
10,"Men in Black (a.k.a. MIB) (1997)","crazy gore","[Toy Story 2 (1999),Snow White and the Seven Dwarfs (1937),Aladdin (1992),Forrest Gump (1994),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Ghostbusters (a.k.a. Ghost Busters) (1984)]","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Superman (1978)]","[The Terminator (1984),RoboCop (1987)]"
10,"Bug's Life, A (1998)","dense","[Men in Black (a.k.a. MIB) (1997),The Incredibles (2004),Star Wars: Episode VI - Return of the Jedi (1983),The Little Mermaid (1989)]","[Shrek 2 (2004),Toy Story (1995)]","[The Dark Knight (2008),Addams Family Values (1993),Austin Powers: The Spy Who Shagged Me (1999),The Mask (1994)]"
10,"The Mask (1994)","documentary style",NULL,"[The Little Mermaid (1989),Gone with the Wind (1939),Harry Potter and the Chamber of Secrets (2002),Indiana Jones and the Last Crusade (1989),Men in Black (a.k.a. MIB) (1997),Clueless (1995),Charlie's Angels (2000),Finding Nemo (2003)]","[The Shining (1980),The Godfather: Part II (1974)]"
10,"Rocky (1976)","dramatic","[The Mask (1994),RoboCop (1987),Chicken Run (2000),Toy Story (1995),Jaws (1975)]","[Clueless (1995),Grease (1978),Willy Wonka & the Chocolate Factory (1971)]","[Star Wars: Episode V - The Empire Strikes Back (1980),The Breakfast Club (1985)]"
10,"Dumb & Dumber (Dumb and Dumber) (1994)","dynamic",NULL,NULL,"[Erin Brockovich (2000),Toy Story 2 (1999),Beauty and the Beast (1991),E.T. the Extra-Terrestrial (1982),Men in Black (a.k.a. MIB) (1997),Pretty Woman (1990),Aladdin (1992),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Grease (1978),X-Men (2000)]"
10,"Star Trek: Generations (1994)","entertaining","[What's Eating Gilbert Grape (1993),The Mask (1994),Robin Hood: Men in Tights (1993)]","[Inception (2010),X-Men (2000)]","[Home Alone (1990),The Godfather: Part II (1974),The Santa Clause (1994),Mission: Impossible II (2000),Dumb & Dumber (Dumb and Dumber) (1994)]"
10,"The Little Mermaid (1989)","exaggerated","[Robin Hood: Men in Tights (1993),Spider-Man 2 (2004),Rocky (1976),Grease (1978),The Godfather: Part II (1974)]","[Toy Story 2 (1999)]","[Shrek (2001),Jurassic Park (1993),Inception (2010),Apollo 13 (1995)]"
10,"RoboCop (1987)","factual","[The Princess Bride (1987),The Incredibles (2004),Home Alone (1990),Who Framed Roger Rabbit? (1988)]","[The Dark Knight (2008),Gladiator (2000)]","[Forrest Gump (1994),Rocky (1976),Harry Potter and the Chamber of Secrets (2002),It's a Wonderful Life (1946)]"
10,"Austin Powers: The Spy Who Shagged Me (1999)","far-fetched","[Grease (1978)]","[It's a Wonderful Life (1946),Addams Family Values (1993),Blade Runner (1982),The Mask (1994)]","[The Wizard of Oz (1939),Toy Story (1995),Star Wars: Episode IV - A New Hope (1977),Star Trek II: The Wrath of Khan (1982),The Lord of the Rings: The Fellowship of the Ring (2001)]"
10,"Men in Black (a.k.a. MIB) (1997)","feels real","[The Terminator (1984),Jaws (1975),Beauty and the Beast (1991),The Little Mermaid (1989),Chicken Run (2000)]","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Jurassic Park (1993),Back to the Future (1985),The Lord of the Rings: The Fellowship of the Ring (2001)]","[The Godfather (1972)]"
10,"Mary Poppins (1964)","fictionalized","[It's a Wonderful Life (1946),The Lost World: Jurassic Park (1997)]","[Toy Story 2 (1999),Toy Story (1995),The Nightmare Before Christmas (1993)]","[Back to the Future (1985),The Lord of the Rings: The Fellowship of the Ring (2001),Shrek 2 (2004),Star Wars: Episode IV - A New Hope (1977),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]"
10,"Forrest Gump (1994)","funny","[Star Wars: Episode I - The Phantom Menace (1999),The Godfather: Part II (1974),Fight Club (1999),The Dark Knight (2008)]",NULL,"[The Shining (1980),The Breakfast Club (1985),Shrek (2001),Charlie's Angels (2000),Back to the Future Part II (1989),Indiana Jones and the Last Crusade (1989)]"
10,"The Little Mermaid (1989)","gory",NULL,"[Mary Poppins (1964),Snow White and the Seven Dwarfs (1937),Aladdin (1992),Toy Story 2 (1999),Toy Story (1995)]","[Spider-Man 2 (2004),Batman Begins (2005),Austin Powers: The Spy Who Shagged Me (1999),The Lord of the Rings: The Two Towers (2002),Indiana Jones and the Last Crusade (1989)]"
10,"Who Framed Roger Rabbit? (1988)","harsh","[The Little Mermaid (1989),Toy Story (1995)]","[Robin Hood: Men in Tights (1993),Inception (2010),Superman (1978),Star Trek: First Contact (1996)]","[Rocky (1976),Pretty Woman (1990),Back to the Future Part III (1990),The Lord of the Rings: The Fellowship of the Ring (2001)]"
10,"The Little Mermaid (1989)","heartfelt","[Men in Black (a.k.a. MIB) (1997),Mission: Impossible (1996),Spider-Man 2 (2004),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Ghostbusters (a.k.a. Ghost Busters) (1984),Robin Hood: Men in Tights (1993)]","[Toy Story 2 (1999),Toy Story (1995)]","[Mary Poppins (1964),Forrest Gump (1994)]"
10,"Home Alone (1990)","impactful","[X-Men (2000),Chicken Run (2000),It's a Wonderful Life (1946),The Shining (1980),Indiana Jones and the Temple of Doom (1984)]","[The Little Mermaid (1989),The Lord of the Rings: The Two Towers (2002),Star Wars: Episode I - The Phantom Menace (1999),Willy Wonka & the Chocolate Factory (1971),Men in Black (a.k.a. MIB) (1997)]",NULL
10,"Beauty and the Beast (1991)","incomprehensible","[Dumb & Dumber (Dumb and Dumber) (1994),The Mask (1994)]","[The Little Mermaid (1989),The Nightmare Before Christmas (1993)]","[X-Men (2000),Ghostbusters (a.k.a. Ghost Busters) (1984),Star Wars: Episode V - The Empire Strikes Back (1980),Inception (2010),Jaws (1975),Apollo 13 (1995)]"
10,"Willy Wonka & the Chocolate Factory (1971)","intense","[Toy Story 2 (1999),Snow White and the Seven Dwarfs (1937)]","[Charlie's Angels (2000),Grease (1978),E.T. the Extra-Terrestrial (1982)]","[X-Men (2000),Back to the Future Part III (1990),Forrest Gump (1994),Harry Potter and the Chamber of Secrets (2002),The Dark Knight (2008)]"
10,"Men in Black (a.k.a. MIB) (1997)","interesting","[The Shining (1980),Chicken Run (2000),The Mask (1994),It's a Wonderful Life (1946)]","[The Terminator (1984),Mission: Impossible (1996),Austin Powers: The Spy Who Shagged Me (1999)]","[The Lord of the Rings: The Two Towers (2002),Aladdin (1992),Toy Story 2 (1999)]"
10,"The Sound of Music (1965)","juvenile humor","[Jurassic Park (1993),Fight Club (1999)]","[Star Wars: Episode V - The Empire Strikes Back (1980),Back to the Future Part II (1989),Star Wars: Episode VI - Return of the Jedi (1983),X2: X-Men United (2003)]","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Aladdin (1992),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Chicken Run (2000)]"
10,"Star Wars: Episode I - The Phantom Menace (1999)","light-hearted","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),The Shining (1980)]","[Superman (1978),The Lost World: Jurassic Park (1997),The Wizard of Oz (1939)]","[Clueless (1995),The Santa Clause (1994),Dumb & Dumber (Dumb and Dumber) (1994),Finding Nemo (2003),It's a Wonderful Life (1946)]"
10,"Jaws (1975)","long","[Ghostbusters (a.k.a. Ghost Busters) (1984),Shrek 2 (2004),Charlie's Angels (2000)]","[Rocky (1976),Star Wars: Episode V - The Empire Strikes Back (1980),Spider-Man (2002),Inception (2010)]","[Harry Potter and the Chamber of Secrets (2002),The Lord of the Rings: The Return of the King (2003),Titanic (1997)]"
10,"The Nightmare Before Christmas (1993)","mainstream","[Shakespeare in Love (1998)]","[Spider-Man 2 (2004),Snow White and the Seven Dwarfs (1937),Ghostbusters (a.k.a. Ghost Busters) (1984),Willy Wonka & the Chocolate Factory (1971)]","[Fight Club (1999),Mission: Impossible II (2000),Monsters, Inc. (2001),Toy Story (1995),The Incredibles (2004)]"
10,"RoboCop (1987)","make you think","[Finding Nemo (2003),Shrek 2 (2004),Jurassic Park (1993)]","[The Nightmare Before Christmas (1993),Beauty and the Beast (1991),E.T. the Extra-Terrestrial (1982),Who Framed Roger Rabbit? (1988)]","[The Lord of the Rings: The Fellowship of the Ring (2001),To Kill a Mockingbird (1962),Gone with the Wind (1939)]"
10,"The Mask (1994)","mindless","[Beauty and the Beast (1991),Gladiator (2000),Home Alone (1990),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode I - The Phantom Menace (1999),Back to the Future Part II (1989)]","[Shrek 2 (2004),E.T. the Extra-Terrestrial (1982),Mary Poppins (1964)]","[Inception (2010)]"
10,"X-Men (2000)","mushy mushy","[Men in Black (a.k.a. MIB) (1997),The Lost World: Jurassic Park (1997),Indiana Jones and the Temple of Doom (1984)]","[Spider-Man 2 (2004),Back to the Future Part III (1990),The Nightmare Before Christmas (1993),Willy Wonka & the Chocolate Factory (1971),The Lord of the Rings: The Fellowship of the Ring (2001)]","[Clueless (1995),Casablanca (1942)]"
10,"Apollo 13 (1995)","original","[The Santa Clause (1994),The Lost World: Jurassic Park (1997),The Dark Knight (2008)]","[Jaws (1975),X2: X-Men United (2003),Harry Potter and the Chamber of Secrets (2002)]","[Bug's Life, A (1998),It's a Wonderful Life (1946),The Lion King (1994),The Wizard of Oz (1939)]"
10,"It's a Wonderful Life (1946)","over the top","[Monsters, Inc. (2001),The Mask (1994),Beauty and the Beast (1991),Mission: Impossible (1996)]","[Charlie's Angels (2000)]","[Grease (1978),Back to the Future Part III (1990),Who Framed Roger Rabbit? (1988),The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Return of the King (2003)]"
10,"Star Trek: Generations (1994)","overrated","[Erin Brockovich (2000),Shakespeare in Love (1998),The Sound of Music (1965),Back to the Future Part II (1989)]","[The Lord of the Rings: The Fellowship of the Ring (2001),The Blair Witch Project (1999),The Wizard of Oz (1939),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]","[Toy Story (1995),Finding Nemo (2003)]"
10,"To Kill a Mockingbird (1962)","playful","[Jaws (1975),Inception (2010)]","[The Godfather: Part II (1974),Star Wars: Episode I - The Phantom Menace (1999),Gladiator (2000)]","[Monsters, Inc. (2001),Home Alone (1990),Snow White and the Seven Dwarfs (1937),Spider-Man 2 (2004),Austin Powers: The Spy Who Shagged Me (1999)]"
10,"The Mask (1994)","pointless","[The Dark Knight (2008),The Incredibles (2004),Shrek (2001),The Little Mermaid (1989),E.T. the Extra-Terrestrial (1982),The Lion King (1994),Pretty Woman (1990),Star Wars: Episode I - The Phantom Menace (1999),Back to the Future (1985)]",NULL,"[Jaws (1975)]"
10,"The Lion King (1994)","predictable","[Gone with the Wind (1939),X2: X-Men United (2003),The Godfather: Part II (1974),The Nightmare Before Christmas (1993)]","[Toy Story (1995),The Dark Knight (2008),Spider-Man (2002)]","[Charlie's Angels (2000),Robin Hood: Men in Tights (1993),Ghostbusters (a.k.a. Ghost Busters) (1984)]"
10,"Star Wars: Episode VI - Return of the Jedi (1983)","realistic","[The Wizard of Oz (1939),The Nightmare Before Christmas (1993),Snow White and the Seven Dwarfs (1937),Chicken Run (2000)]","[Back to the Future Part III (1990),Superman (1978),Who Framed Roger Rabbit? (1988)]","[Batman Begins (2005),The Breakfast Club (1985),Indiana Jones and the Last Crusade (1989)]"
10,"Shrek 2 (2004)","romantic","[Jaws (1975),Finding Nemo (2003),Monsters, Inc. (2001),Indiana Jones and the Temple of Doom (1984),Star Trek: Generations (1994)]","[Spider-Man (2002),Forrest Gump (1994),Shrek (2001)]","[Beauty and the Beast (1991),Sense and Sensibility (1995)]"
10,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","sappy","[Men in Black (a.k.a. MIB) (1997),Blade Runner (1982)]","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Back to the Future (1985),The Lord of the Rings: The Fellowship of the Ring (2001)]","[Erin Brockovich (2000),Beauty and the Beast (1991),Monsters, Inc. (2001),What's Eating Gilbert Grape (1993),The Sound of Music (1965)]"
10,"Grease (1978)","scary","[Toy Story 2 (1999),Home Alone (1990),The Lion King (1994),Willy Wonka & the Chocolate Factory (1971)]","[The Breakfast Club (1985),What's Eating Gilbert Grape (1993)]","[The Lost World: Jurassic Park (1997),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Apollo 13 (1995),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)]"
10,"Star Wars: Episode IV - A New Hope (1977)","serious","[Monsters, Inc. (2001),The Incredibles (2004),Chicken Run (2000),Toy Story 2 (1999)]","[X-Men (2000),Spider-Man 2 (2004),Indiana Jones and the Last Crusade (1989),The Nightmare Before Christmas (1993)]","[The Lost World: Jurassic Park (1997),What's Eating Gilbert Grape (1993)]"
10,"The Terminator (1984)","simplistic script","[The Lord of the Rings: The Two Towers (2002),Back to the Future (1985),Back to the Future Part II (1989)]","[The Shining (1980),X2: X-Men United (2003)]","[Monsters, Inc. (2001),Bug's Life, A (1998),Willy Wonka & the Chocolate Factory (1971),E.T. the Extra-Terrestrial (1982),Mary Poppins (1964)]"
10,"RoboCop (1987)","slow-paced","[Toy Story (1995),Charlie's Angels (2000),Beauty and the Beast (1991)]","[Harry Potter and the Chamber of Secrets (2002),Jurassic Park (1993),Ghostbusters (a.k.a. Ghost Busters) (1984),X-Men (2000)]","[It's a Wonderful Life (1946),Back to the Future (1985),Star Trek: First Contact (1996)]"
10,"Austin Powers: The Spy Who Shagged Me (1999)","tearful","[Dumb & Dumber (Dumb and Dumber) (1994),The Dark Knight (2008),Blade Runner (1982),Star Trek: First Contact (1996)]","[Spider-Man 2 (2004),Harry Potter and the Chamber of Secrets (2002),Indiana Jones and the Temple of Doom (1984),Batman Begins (2005)]","[The Santa Clause (1994),The Breakfast Club (1985)]"
10,"Star Wars: Episode V - The Empire Strikes Back (1980)","terrifying","[The Incredibles (2004),Bug's Life, A (1998),The Lion King (1994),Dumb & Dumber (Dumb and Dumber) (1994)]","[Home Alone (1990),Spider-Man (2002),X-Men (2000)]","[Back to the Future Part III (1990),Back to the Future (1985),Back to the Future Part II (1989)]"
10,"Home Alone (1990)","tongue and cheek","[X-Men (2000),Gladiator (2000),Pretty Woman (1990),Batman Begins (2005)]","[Snow White and the Seven Dwarfs (1937),The Nightmare Before Christmas (1993),Star Wars: Episode IV - A New Hope (1977)]","[Monsters, Inc. (2001),Dumb & Dumber (Dumb and Dumber) (1994),E.T. the Extra-Terrestrial (1982)]"
10,"Bug's Life, A (1998)","twisty","[Snow White and the Seven Dwarfs (1937),The Mask (1994)]","[Clueless (1995),Charlie's Angels (2000)]","[The Lord of the Rings: The Return of the King (2003),X-Men (2000),It's a Wonderful Life (1946),The Godfather: Part II (1974),Inception (2010),Star Wars: Episode VI - Return of the Jedi (1983)]"
10,"The Lord of the Rings: The Fellowship of the Ring (2001)","typical","[The Sound of Music (1965),It's a Wonderful Life (1946)]","[The Terminator (1984),Clueless (1995),The Lord of the Rings: The Return of the King (2003),The Lost World: Jurassic Park (1997),Star Trek II: The Wrath of Khan (1982)]","[Shrek 2 (2004),Shrek (2001),Pretty Woman (1990)]"
10,"The Lost World: Jurassic Park (1997)","unique story","[Spider-Man 2 (2004),Chicken Run (2000),The Little Mermaid (1989),Grease (1978)]","[Jurassic Park (1993),Indiana Jones and the Last Crusade (1989)]","[Rocky (1976),Inception (2010),Sense and Sensibility (1995),Forrest Gump (1994)]"
10,"Back to the Future Part II (1989)","unrealistic","[Pretty Woman (1990),Aladdin (1992),The Lost World: Jurassic Park (1997),Indiana Jones and the Last Crusade (1989)]","[Star Wars: Episode V - The Empire Strikes Back (1980),Harry Potter and the Chamber of Secrets (2002),Apollo 13 (1995)]","[Monsters, Inc. (2001),The Little Mermaid (1989),Shrek (2001)]"
10,"Mary Poppins (1964)","violent","[Beauty and the Beast (1991)]","[Monsters, Inc. (2001),Finding Nemo (2003),To Kill a Mockingbird (1962),The Lion King (1994),Shrek 2 (2004)]","[Charlie's Angels (2000),The Princess Bride (1987),Harry Potter and the Chamber of Secrets (2002),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]"
10,"Titanic (1997)","well directed","[Erin Brockovich (2000),Spider-Man 2 (2004)]","[The Sound of Music (1965),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]","[Harry Potter and the Chamber of Secrets (2002),Bug's Life, A (1998),Aladdin (1992),Beauty and the Beast (1991),Finding Nemo (2003),Snow White and the Seven Dwarfs (1937)]"
11,"Men in Black (a.k.a. MIB) (1997)","action filled","[Willy Wonka & the Chocolate Factory (1971),Schindler's List (1993)]","[The Incredibles (2004),The Dark Knight (2008),Saving Private Ryan (1998),The Lost World: Jurassic Park (1997),Jurassic Park (1993),Spider-Man (2002),X-Men (2000),Toy Story 2 (1999)]",NULL
11,"Top Gun (1986)","animated",NULL,"[Gladiator (2000),Catch Me If You Can (2002),The Shining (1980),Kill Bill: Vol. 1 (2003),Ocean's Eleven (2001)]","[The Little Mermaid (1989),Snow White and the Seven Dwarfs (1937),The Lion King (1994),Alien (1979),Harry Potter and the Chamber of Secrets (2002)]"
11,"Terminator 2: Judgment Day (1991)","artsy",NULL,"[Spider-Man 2 (2004),The Terminator (1984),Die Hard (1988),Ocean's Eleven (2001),The Breakfast Club (1985)]","[Snow White and the Seven Dwarfs (1937),Toy Story (1995),Shrek 2 (2004),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),The Mask (1994)]"
11,"Star Wars: Episode VI - Return of the Jedi (1983)","believable",NULL,"[Star Wars: Episode IV - A New Hope (1977),Kill Bill: Vol. 1 (2003),The Mummy (1999),Charlie's Angels (2000),Terminator 2: Judgment Day (1991),The Dark Knight (2008),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]","[Home Alone (1990),Fight Club (1999),The Breakfast Club (1985)]"
11,"Toy Story 2 (1999)","big budget",NULL,"[The Sixth Sense (1999),The Little Mermaid (1989),Shrek 2 (2004),Mary Poppins (1964)]","[Braveheart (1995),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Inception (2010),Ocean's Eleven (2001),The Mummy (1999)]"
11,"Casablanca (1942)","bizarre",NULL,"[Braveheart (1995),Saving Private Ryan (1998),Gladiator (2000),Ocean's Eleven (2001),Die Hard (1988)]","[The Silence of the Lambs (1991),Alien (1979),Batman Begins (2005),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),X2: X-Men United (2003)]"
11,"Shrek (2001)","boring",NULL,"[The Dark Knight (2008),The Incredibles (2004),Spider-Man (2002),Home Alone (1990)]","[Men in Black (a.k.a. MIB) (1997),The Nightmare Before Christmas (1993),E.T. the Extra-Terrestrial (1982),X2: X-Men United (2003),Beauty and the Beast (1991),The Breakfast Club (1985)]"
11,"Snow White and the Seven Dwarfs (1937)","budget",NULL,"[Beauty and the Beast (1991),Toy Story 2 (1999),Shrek 2 (2004),Scream (1996),Charlie's Angels (2000)]","[RoboCop (1987),Fight Club (1999),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Schindler's List (1993),Die Hard (1988)]"
11,"Star Wars: Episode IV - A New Hope (1977)","cartoonish","[Casablanca (1942),Good Will Hunting (1997),Gladiator (2000)]","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),X-Men (2000),Alien (1979),The Lord of the Rings: The Return of the King (2003)]","[Monsters, Inc. (2001),Shrek (2001),The Lion King (1994)]"
11,"The Nightmare Before Christmas (1993)","cheesy","[Inception (2010),The Lord of the Rings: The Fellowship of the Ring (2001),The Lion King (1994)]","[Braveheart (1995),Harry Potter and the Chamber of Secrets (2002),Men in Black (a.k.a. MIB) (1997),The Lost World: Jurassic Park (1997),The Mask (1994)]","[Charlie's Angels (2000),Titanic (1997)]"
11,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","complicated","[Finding Nemo (2003),The Mask (1994),Shrek 2 (2004)]","[The Lost World: Jurassic Park (1997),X2: X-Men United (2003),Forrest Gump (1994),Edward Scissorhands (1990),The Lord of the Rings: The Two Towers (2002)]","[The Matrix Reloaded (2003),Schindler's List (1993)]"
11,"Titanic (1997)","confusing","[The Lion King (1994)]","[Catch Me If You Can (2002),The Breakfast Club (1985),Home Alone (1990),Star Wars: Episode IV - A New Hope (1977),Pirates of the Caribbean: The Curse of the Black Pearl (2003),The Dark Knight (2008)]","[The Matrix Reloaded (2003),Schindler's List (1993),E.T. the Extra-Terrestrial (1982)]"
11,"Die Hard (1988)","crazy gore","[Shrek 2 (2004),Aladdin (1992),The Mask (1994),Beauty and the Beast (1991),Harry Potter and the Chamber of Secrets (2002),Star Wars: Episode VI - Return of the Jedi (1983),The Lion King (1994)]","[Terminator 2: Judgment Day (1991),X2: X-Men United (2003),The Mummy (1999)]",NULL
11,"The Mummy (1999)","dense","[Chicken Run (2000),Snow White and the Seven Dwarfs (1937),The Nightmare Before Christmas (1993)]","[X-Men (2000),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Die Hard (1988),Jumanji (1995),The Terminator (1984)]","[Kill Bill: Vol. 1 (2003),Titanic (1997)]"
11,"Mary Poppins (1964)","documentary style","[Finding Nemo (2003),RoboCop (1987),Jurassic Park (1993),The Terminator (1984),The Incredibles (2004),Star Wars: Episode IV - A New Hope (1977)]","[Gladiator (2000)]","[Saving Private Ryan (1998),Titanic (1997),Braveheart (1995)]"
11,"Willy Wonka & the Chocolate Factory (1971)","dramatic","[South Park: Bigger, Longer and Uncut (1999),Toy Story (1995)]","[Snow White and the Seven Dwarfs (1937)]","[The Silence of the Lambs (1991),E.T. the Extra-Terrestrial (1982),Terminator 2: Judgment Day (1991),Batman Begins (2005),Catch Me If You Can (2002),Forrest Gump (1994),Braveheart (1995)]"
11,"Scream (1996)","dynamic","[Edward Scissorhands (1990),The Nightmare Before Christmas (1993),Good Will Hunting (1997),Forrest Gump (1994),Catch Me If You Can (2002)]","[Finding Nemo (2003)]","[Toy Story (1995),The Lord of the Rings: The Fellowship of the Ring (2001),Jumanji (1995),Braveheart (1995)]"
11,"Spider-Man 2 (2004)","entertaining","[Charlie's Angels (2000),The Silence of the Lambs (1991),Edward Scissorhands (1990),Willy Wonka & the Chocolate Factory (1971),Snow White and the Seven Dwarfs (1937)]","[The Terminator (1984),Inception (2010),The Dark Knight (2008),Scream (1996),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]",NULL
