"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
15,"Home Alone (1990)","believable","[The Blair Witch Project (1999),The Santa Clause (1994),The Wizard of Oz (1939),The Truman Show (1998)]","[Jaws (1975),E.T. the Extra-Terrestrial (1982)]","[Catch Me If You Can (2002),Mission: Impossible (1996),American Beauty (1999),The Godfather (1972)]"
15,"Home Alone (1990)","confusing",NULL,"[Shrek (2001),Toy Story 2 (1999),The Lion King (1994),Meet the Parents (2000),Batman (1989)]","[Shakespeare in Love (1998),Groundhog Day (1993),Mission: Impossible (1996),Kill Bill: Vol. 1 (2003),The Green Mile (1999)]"
18,"Home Alone (1990)","well directed",NULL,"[Shrek 2 (2004),Back to the Future (1985),The Incredibles (2004)]","[Men in Black (a.k.a. MIB) (1997),Seven (a.k.a. Se7en) (1995),Independence Day (a.k.a. ID4) (1996),Meet the Parents (2000),The Hunt for Red October (1990),Die Hard (1988),Taxi Driver (1976)]"
19,"Home Alone (1990)","feels real","[Bug's Life, A (1998),Superman (1978),Jumanji (1995),Willy Wonka & the Chocolate Factory (1971),The Lord of the Rings: The Fellowship of the Ring (2001),Terminator 2: Judgment Day (1991)]","[Kill Bill: Vol. 2 (2004),V for Vendetta (2006)]","[Grease (1978),Cast Away (2000)]"
19,"Home Alone (1990)","terrifying","[Babe (1995),Dumb & Dumber (Dumb and Dumber) (1994),Monsters, Inc. (2001)]","[The Lord of the Rings: The Return of the King (2003),Back to the Future Part III (1990),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]","[Terminator 2: Judgment Day (1991),Addams Family Values (1993),Alien (1979),Kill Bill: Vol. 1 (2003)]"
20,"Home Alone (1990)","action filled","[Ace Ventura: Pet Detective (1994),Shrek (2001),Honey, I Shrunk the Kids (1989),Ace Ventura: When Nature Calls (1995)]","[Back to the Future Part III (1990),Jaws (1975)]","[Face/Off (1997),RoboCop (1987),Desperado (1995),Jurassic Park (1993)]"
23,"Home Alone (1990)","bizarre","[Dumb & Dumber (Dumb and Dumber) (1994),The Lion King (1994),Meet the Parents (2000)]",NULL,"[Pirates of the Caribbean: The Curse of the Black Pearl (2003),The Sixth Sense (1999),Schindler's List (1993),Goodfellas (1990),Titanic (1997),Spider-Man 2 (2004),Catch Me If You Can (2002)]"
23,"Home Alone (1990)","heartfelt","[Clueless (1995),Dumb & Dumber (Dumb and Dumber) (1994)]","[Meet the Parents (2000),The Little Mermaid (1989),Pirates of the Caribbean: The Curse of the Black Pearl (2003),The Princess Bride (1987),Beauty and the Beast (1991),Catch Me If You Can (2002)]","[When Harry Met Sally... (1989),Donnie Darko (2001)]"
23,"Home Alone (1990)","mainstream","[Pulp Fiction (1994),Memento (2000),Lost in Translation (2003),Jurassic Park (1993),The Mask (1994),The Princess Bride (1987),Titanic (1997),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]","[Pretty Woman (1990),The Little Mermaid (1989)]",NULL
23,"Home Alone (1990)","pointless","[Cast Away (2000),Titanic (1997),Catch Me If You Can (2002),When Harry Met Sally... (1989),Pulp Fiction (1994)]","[Spider-Man 2 (2004),Pirates of the Caribbean: The Curse of the Black Pearl (2003),The Princess Bride (1987),Beauty and the Beast (1991)]","[Clueless (1995)]"
23,"Home Alone (1990)","tearful","[The Mask (1994)]","[Pulp Fiction (1994),Harry Potter and the Chamber of Secrets (2002),Pretty Woman (1990),The Princess Bride (1987)]","[The Sixth Sense (1999),The Little Mermaid (1989),Beautiful Mind, A (2001),Forrest Gump (1994),Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)]"
24,"Home Alone (1990)","animated",NULL,"[The Shining (1980),Die Hard (1988),Scream (1996),Beetlejuice (1988)]","[Mary Poppins (1964),X2: X-Men United (2003),Spider-Man 2 (2004),The Lion King (1994),Monsters, Inc. (2001),Star Trek: First Contact (1996)]"
24,"Home Alone (1990)","well directed","[Grease (1978)]","[Inception (2010),Edward Scissorhands (1990),Charlie's Angels (2000),The Lord of the Rings: The Two Towers (2002),Indiana Jones and the Temple of Doom (1984),Jaws (1975)]","[Alien (1979),Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode VI - Return of the Jedi (1983)]"
26,"Home Alone (1990)","cartoonish","[Dead Poets Society (1989),As Good as It Gets (1997),Alien (1979),The Mummy (1999)]","[Jumanji (1995),The Dark Knight (2008)]","[Robin Hood: Men in Tights (1993),Monsters, Inc. (2001),Naked Gun 33 1/3: The Final Insult (1994),Chicken Run (2000)]"
28,"Home Alone (1990)","action filled","[The Lion King (1994),American Pie (1999),Finding Nemo (2003),The Little Mermaid (1989)]",NULL,"[Jumanji (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Harry Potter and the Chamber of Secrets (2002),Men in Black (a.k.a. MIB) (1997),The Mask (1994),Jurassic Park (1993)]"
28,"Home Alone (1990)","confusing","[Toy Story (1995),Catch Me If You Can (2002),Toy Story 2 (1999),Jurassic Park (1993),The Lord of the Rings: The Fellowship of the Ring (2001)]","[The Mummy (1999),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Monsters, Inc. (2001)]","[Men in Black (a.k.a. MIB) (1997),Jumanji (1995)]"
28,"Home Alone (1990)","sappy","[The Lord of the Rings: The Two Towers (2002),Toy Story 2 (1999),Harry Potter and the Chamber of Secrets (2002),Forrest Gump (1994),Ace Ventura: When Nature Calls (1995),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)]","[E.T. the Extra-Terrestrial (1982)]","[Shrek 2 (2004),Snow White and the Seven Dwarfs (1937),Beauty and the Beast (1991)]"
30,"Home Alone (1990)","artsy","[Species (1995),Con Air (1997),What's Eating Gilbert Grape (1993),Honey, I Shrunk the Kids (1989)]","[The Santa Clause (1994),GoldenEye (1995),The Princess Bride (1987)]","[Spider-Man 2 (2004),Inception (2010),Platoon (1986)]"
30,"Home Alone (1990)","incomprehensible","[Rain Man (1988),Con Air (1997),Top Gun (1986)]","[E.T. the Extra-Terrestrial (1982),Chicken Run (2000),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Apocalypse Now (1979),GoldenEye (1995)]","[Jurassic Park (1993),Addams Family Values (1993)]"
31,"Home Alone (1990)","artsy","[The Green Mile (1999),American Beauty (1999),Pretty Woman (1990),E.T. the Extra-Terrestrial (1982)]","[Speed (1994),Gladiator (2000)]","[Shrek (2001),Shrek 2 (2004),The Lost World: Jurassic Park (1997)]"
31,"Home Alone (1990)","budget","[The Nutty Professor (1996),The Sixth Sense (1999),The Lion King (1994)]","[The Green Mile (1999),Shrek (2001)]","[The Dark Knight (2008),The Mummy (1999),Jurassic Park (1993),The Matrix Reloaded (2003),The Lost World: Jurassic Park (1997)]"
32,"Home Alone (1990)","artsy","[Meet the Parents (2000),Honey, I Shrunk the Kids (1989),Monsters, Inc. (2001)]","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Snow White and the Seven Dwarfs (1937)]","[Life Is Beautiful (La Vita è bella) (1997),Austin Powers: International Man of Mystery (1997),The Big Lebowski (1998),Mary Poppins (1964),E.T. the Extra-Terrestrial (1982)]"
33,"Home Alone (1990)","mainstream","[Good Will Hunting (1997),Cast Away (2000),Robin Hood: Men in Tights (1993),Mars Attacks! (1996),My Cousin Vinny (1992)]","[Big (1988),Honey, I Shrunk the Kids (1989),Ghost (1990)]","[Jumanji (1995),Jurassic Park (1993)]"
35,"Home Alone (1990)","feels real","[Mission: Impossible II (2000),Bug's Life, A (1998),Indiana Jones and the Last Crusade (1989),Ghostbusters (a.k.a. Ghost Busters) (1984),Back to the Future (1985),Airplane! (1980),Who Framed Roger Rabbit? (1988)]","[The Silence of the Lambs (1991),The Santa Clause (1994),The Wizard of Oz (1939)]",NULL
37,"Home Alone (1990)","romantic","[Monsters, Inc. (2001),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Ace Ventura: Pet Detective (1994),Congo (1995),Lethal Weapon (1987),Ghostbusters (a.k.a. Ghost Busters) (1984),Minority Report (2002)]",NULL,"[The Sound of Music (1965),True Romance (1993),Raising Arizona (1987)]"
38,"Home Alone (1990)","impactful","[Ace Ventura: When Nature Calls (1995),Minority Report (2002),Honey, I Shrunk the Kids (1989),Toy Story (1995)]","[Indiana Jones and the Temple of Doom (1984),Beauty and the Beast (1991),The Little Mermaid (1989)]","[The Lord of the Rings: The Fellowship of the Ring (2001),Titanic (1997),Star Wars: Episode I - The Phantom Menace (1999)]"
38,"Home Alone (1990)","intense","[Beauty and the Beast (1991),Monsters, Inc. (2001)]","[Honey, I Shrunk the Kids (1989),Toy Story (1995),Back to the Future Part III (1990),Shrek 2 (2004),E.T. the Extra-Terrestrial (1982)]","[Minority Report (2002),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Spider-Man (2002)]"
41,"Home Alone (1990)","cheesy","[Apollo 13 (1995),Alien (1979),Schindler's List (1993),Natural Born Killers (1994),Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)]","[Toy Story 2 (1999),Pretty Woman (1990)]","[Monsters, Inc. (2001),The Full Monty (1997),Shrek (2001)]"
41,"Home Alone (1990)","playful","[Braveheart (1995),Kill Bill: Vol. 2 (2004),Armageddon (1998),The Rock (1996),The Bourne Identity (2002),Cast Away (2000),Jurassic Park (1993)]","[Honey, I Shrunk the Kids (1989)]","[Happy Gilmore (1996),Bug's Life, A (1998)]"
42,"Home Alone (1990)","bizarre","[Grease (1978)]","[The Little Mermaid (1989),Scream (1996),The Big Lebowski (1998)]","[What's Eating Gilbert Grape (1993),Mrs. Doubtfire (1993),American History X (1998),Amadeus (1984),Few Good Men, A (1992),Minority Report (2002)]"
44,"Home Alone (1990)","confusing","[Willy Wonka & the Chocolate Factory (1971),The Green Mile (1999),Happy Gilmore (1996),Clerks (1994),Babe (1995)]",NULL,"[American Beauty (1999),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Back to the Future Part II (1989),The American President (1995),Casablanca (1942)]"
46,"Home Alone (1990)","factual","[Back to the Future Part III (1990),Armageddon (1998),Men in Black (a.k.a. MIB) (1997),Star Wars: Episode VI - Return of the Jedi (1983),Mission: Impossible (1996)]","[Meet the Parents (2000),Dave (1993)]","[Lethal Weapon (1987),Goodfellas (1990),One Flew Over the Cuckoo's Nest (1975)]"
46,"Home Alone (1990)","original","[Star Wars: Episode V - The Empire Strikes Back (1980),X-Men (2000),Men in Black (a.k.a. MIB) (1997),Beauty and the Beast (1991)]","[Taxi Driver (1976),Meet the Parents (2000)]","[The Good, the Bad and the Ugly (Buono, il brutto, il cattivo, Il) (1966),Air Force One (1997),Seven (a.k.a. Se7en) (1995),What's Eating Gilbert Grape (1993)]"
48,"Home Alone (1990)","artsy","[The Breakfast Club (1985)]","[Batman Begins (2005)]","[The Lord of the Rings: The Two Towers (2002),Jumanji (1995),Terminator 2: Judgment Day (1991),E.T. the Extra-Terrestrial (1982),Star Wars: Episode V - The Empire Strikes Back (1980),Back to the Future (1985),Back to the Future Part II (1989),Waterworld (1995)]"
48,"Home Alone (1990)","cheesy","[Star Wars: Episode VI - Return of the Jedi (1983),Independence Day (a.k.a. ID4) (1996),Cast Away (2000),E.T. the Extra-Terrestrial (1982),The Green Mile (1999)]","[One Flew Over the Cuckoo's Nest (1975),Men in Black (a.k.a. MIB) (1997),The Santa Clause (1994),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]","[Charlie's Angels (2000)]"
48,"Home Alone (1990)","dramatic","[The Lion King (1994),Austin Powers: The Spy Who Shagged Me (1999)]","[The Santa Clause (1994),Mrs. Doubtfire (1993)]","[Rain Man (1988),Jaws (1975),The Godfather (1972),The Dark Knight (2008),Apollo 13 (1995),Batman Begins (2005)]"
48,"Home Alone (1990)","well directed","[Die Hard 2 (1990),Clerks (1994)]","[Back to the Future Part II (1989),RoboCop (1987),Liar Liar (1997),The Silence of the Lambs (1991)]","[Toy Story (1995),The Lord of the Rings: The Fellowship of the Ring (2001),Total Recall (1990),V for Vendetta (2006)]"
50,"Home Alone (1990)","unique story",NULL,"[The Lord of the Rings: The Fellowship of the Ring (2001),Mission: Impossible (1996),Pretty Woman (1990),Jumanji (1995),Rocky (1976)]","[Star Wars: Episode IV - A New Hope (1977),It's a Wonderful Life (1946),Beautiful Mind, A (2001),The Sound of Music (1965),Back to the Future (1985)]"
51,"Home Alone (1990)","artsy","[Congo (1995),Predator (1987),Star Wars: Episode V - The Empire Strikes Back (1980),Die Hard (1988)]","[Ace Ventura: When Nature Calls (1995),The Truman Show (1998),Chicken Run (2000)]","[The Big Lebowski (1998),This Is Spinal Tap (1984),Ed Wood (1994)]"
54,"Home Alone (1990)","impactful","[Harry Potter and the Chamber of Secrets (2002),Batman (1989),Crimson Tide (1995),The Lost World: Jurassic Park (1997)]","[The Lion King (1994),Honey, I Shrunk the Kids (1989)]","[Forrest Gump (1994),Armageddon (1998),The Silence of the Lambs (1991),Apocalypse Now (1979)]"
54,"Home Alone (1990)","tongue and cheek",NULL,"[Starship Troopers (1997),The Green Mile (1999)]","[Predator (1987),The Lost World: Jurassic Park (1997),Requiem for a Dream (2000),Clear and Present Danger (1994),Die Hard (1988),Scream (1996),Jumanji (1995),Ocean's Eleven (2001)]"
54,"Home Alone (1990)","well directed",NULL,"[The Santa Clause (1994)]","[Face/Off (1997),Monsters, Inc. (2001),Legends of the Fall (1994),Spider-Man (2002),Shrek 2 (2004),The Mummy (1999),Apocalypse Now (1979),The Bourne Identity (2002),Beverly Hills Cop III (1994)]"
56,"Home Alone (1990)","confusing",NULL,"[The Santa Clause (1994),Cast Away (2000),Big (1988),The Little Mermaid (1989),The Nutty Professor (1996),Bug's Life, A (1998),Titanic (1997)]","[Contact (1997),Ocean's Eleven (2001),Outbreak (1995)]"
56,"Home Alone (1990)","light-hearted","[Quiz Show (1994),Pulp Fiction (1994),Austin Powers: International Man of Mystery (1997),Men in Black (a.k.a. MIB) (1997),Mission: Impossible (1996),Inception (2010),Forrest Gump (1994),Air Force One (1997)]","[Shrek (2001),Dave (1993)]",NULL
58,"Home Alone (1990)","budget",NULL,"[Ransom (1996),Good Will Hunting (1997),High Fidelity (2000),Lost in Translation (2003),Mrs. Doubtfire (1993)]","[Waterworld (1995),Amadeus (1984),Die Hard (1988),Ace Ventura: When Nature Calls (1995),Cast Away (2000)]"
59,"Home Alone (1990)","cheesy","[The Mummy (1999),The Lord of the Rings: The Fellowship of the Ring (2001),V for Vendetta (2006),Jurassic Park (1993),Indiana Jones and the Temple of Doom (1984),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),E.T. the Extra-Terrestrial (1982)]","[Austin Powers: International Man of Mystery (1997),Back to the Future Part II (1989),Shrek 2 (2004)]",NULL
64,"Home Alone (1990)","budget","[Aladdin (1992),Pulp Fiction (1994),The Mask (1994),The Lord of the Rings: The Fellowship of the Ring (2001)]","[Kill Bill: Vol. 1 (2003),Shrek (2001),Stand by Me (1986),Jumanji (1995)]","[The Mummy (1999),Chicken Run (2000)]"
67,"Home Alone (1990)","twisty","[Coneheads (1993),Arachnophobia (1990),Superman (1978),Snatch (2000)]","[Sleepless in Seattle (1993),Back to the Future (1985),The Princess Bride (1987),Ocean's Eleven (2001),Star Wars: Episode IV - A New Hope (1977),Spider-Man 2 (2004)]",NULL
68,"Home Alone (1990)","budget","[Taxi Driver (1976)]","[Good Will Hunting (1997),Lost in Translation (2003),The Usual Suspects (1995),The Princess Bride (1987)]","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Spider-Man 2 (2004),Twister (1996),Terminator 2: Judgment Day (1991),Toy Story 2 (1999)]"
68,"Home Alone (1990)","confusing",NULL,"[Bug's Life, A (1998),Grease (1978),Spider-Man (2002)]","[Back to the Future Part III (1990),Full Metal Jacket (1987),Back to the Future (1985),Jumanji (1995),The Lion King (1994),Jurassic Park (1993),Almost Famous (2000)]"
68,"Home Alone (1990)","tongue and cheek","[The Shining (1980),V for Vendetta (2006),Rocky (1976)]","[The Incredibles (2004),The Breakfast Club (1985),Star Wars: Episode IV - A New Hope (1977),Back to the Future Part II (1989),The Wizard of Oz (1939)]","[Office Space (1999),The Big Lebowski (1998)]"
71,"Home Alone (1990)","mindless","[The Princess Bride (1987),2001: A Space Odyssey (1968),Jurassic Park (1993),Inception (2010)]","[Willy Wonka & the Chocolate Factory (1971),Beetlejuice (1988),Babe (1995),The Incredibles (2004)]","[Toy Story (1995),Chicken Run (2000)]"
72,"Home Alone (1990)","original","[Mission: Impossible (1996),Top Gun (1986),Robin Hood: Men in Tights (1993),X-Men (2000)]","[Snatch (2000),My Cousin Vinny (1992),The Mummy (1999),Dumb & Dumber (Dumb and Dumber) (1994)]","[Mary Poppins (1964),Finding Nemo (2003)]"
72,"Home Alone (1990)","pointless","[The Sixth Sense (1999),Braveheart (1995),The Godfather (1972),Monsters, Inc. (2001)]","[Kill Bill: Vol. 1 (2003),Men in Black (a.k.a. MIB) (1997),Charlie's Angels (2000),Shrek 2 (2004)]","[The Mask (1994),Die Hard (1988)]"
73,"Home Alone (1990)","dynamic","[Robin Hood: Men in Tights (1993),Shrek 2 (2004)]","[Ace Ventura: When Nature Calls (1995),Gone with the Wind (1939),Titanic (1997),Enemy of the State (1998),Austin Powers: The Spy Who Shagged Me (1999)]","[Star Trek II: The Wrath of Khan (1982),Die Hard (1988),Pulp Fiction (1994)]"
74,"Home Alone (1990)","impactful","[As Good as It Gets (1997),The Little Mermaid (1989)]","[Big (1988),The Terminator (1984),Stargate (1994),Harry Potter and the Chamber of Secrets (2002),Lethal Weapon (1987)]","[Psycho (1960),To Kill a Mockingbird (1962),The Lion King (1994)]"
76,"Home Alone (1990)","feels real","[Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Last Crusade (1989),Back to the Future Part II (1989),The Lost World: Jurassic Park (1997)]","[Fight Club (1999),Clueless (1995),American Pie (1999)]","[American History X (1998),Rain Man (1988),Leaving Las Vegas (1995)]"
76,"Home Alone (1990)","predictable","[Reservoir Dogs (1992),Goodfellas (1990),Trainspotting (1996),Lost in Translation (2003)]","[Jurassic Park (1993),Back to the Future (1985),Clerks (1994)]","[Face/Off (1997),Twister (1996),The Lord of the Rings: The Fellowship of the Ring (2001)]"
77,"Home Alone (1990)","dense","[Snow White and the Seven Dwarfs (1937),Amadeus (1984),Demolition Man (1993)]","[Who Framed Roger Rabbit? (1988),Spider-Man 2 (2004),Mary Poppins (1964)]","[Air Force One (1997),Big (1988),Indiana Jones and the Temple of Doom (1984),Die Hard: With a Vengeance (1995)]"
79,"Home Alone (1990)","make you think","[Austin Powers: The Spy Who Shagged Me (1999),Grease (1978)]","[Clueless (1995),Top Gun (1986),The Bourne Identity (2002),The Lost World: Jurassic Park (1997)]","[Back to the Future Part III (1990),Donnie Darko (2001),E.T. the Extra-Terrestrial (1982),Beautiful Mind, A (2001)]"
80,"Home Alone (1990)","animated","[My Cousin Vinny (1992),Eyes Wide Shut (1999),Lock, Stock & Two Smoking Barrels (1998),The Bourne Identity (2002),Dead Poets Society (1989)]","[American Pie (1999),Speed (1994)]","[Austin Powers: The Spy Who Shagged Me (1999),The Lord of the Rings: The Fellowship of the Ring (2001),Ace Ventura: When Nature Calls (1995)]"
83,"Home Alone (1990)","action filled","[Honey, I Shrunk the Kids (1989),Snow White and the Seven Dwarfs (1937),Mary Poppins (1964)]","[Titanic (1997),Beauty and the Beast (1991),Shrek (2001),Bug's Life, A (1998)]","[Finding Nemo (2003),Shrek 2 (2004),Spider-Man 2 (2004)]"
83,"Home Alone (1990)","gory","[Aladdin (1992),Honey, I Shrunk the Kids (1989),The Sound of Music (1965),Monsters, Inc. (2001)]","[The Lion King (1994),Shrek (2001),Finding Nemo (2003)]","[Clockwork Orange, A (1971),Jurassic Park (1993),The Dark Knight (2008)]"
83,"Home Alone (1990)","harsh","[Mary Poppins (1964),Snow White and the Seven Dwarfs (1937),The Little Mermaid (1989),Monsters, Inc. (2001),The Lion King (1994)]","[X-Men (2000),Spider-Man (2002),The Incredibles (2004),Titanic (1997)]","[Blade Runner (1982)]"
