"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
5,"Star Wars: Episode I - The Phantom Menace (1999)","heartfelt","[Back to the Future Part III (1990),Charlie's Angels (2000),Predator (1987),Ransom (1996),Jurassic Park (1993)]","[Mrs. Doubtfire (1993),Star Trek: Generations (1994)]","[The Crow (1994),E.T. the Extra-Terrestrial (1982),The Shining (1980)]"
6,"The Wizard of Oz (1939)","artsy","[Austin Powers: The Spy Who Shagged Me (1999),Back to the Future Part III (1990),Ghostbusters (a.k.a. Ghost Busters) (1984),Star Trek: Generations (1994),Jumanji (1995),Spider-Man (2002),The Terminator (1984)]","[Mary Poppins (1964),The Princess Bride (1987),Four Weddings and a Funeral (1994)]",NULL
6,"Snow White and the Seven Dwarfs (1937)","heartfelt","[The Usual Suspects (1995),Mission: Impossible (1996),RoboCop (1987)]","[Grease (1978),Back to the Future (1985)]","[Schindler's List (1993),Sense and Sensibility (1995),Gladiator (2000),Ransom (1996),Edward Scissorhands (1990)]"
7,"Home Alone (1990)","artsy","[The Bourne Identity (2002),The Terminator (1984)]","[The Little Mermaid (1989),Beauty and the Beast (1991),Harry Potter and the Chamber of Secrets (2002),Ace Ventura: Pet Detective (1994),Snow White and the Seven Dwarfs (1937)]","[Braveheart (1995),The Sound of Music (1965),The Breakfast Club (1985)]"
7,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","heartfelt","[Clueless (1995),Vertigo (1958),The Mask (1994)]","[Alien (1979),The Bourne Identity (2002),Aliens (1986)]","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Shrek (2001),E.T. the Extra-Terrestrial (1982),Home Alone (1990)]"
8,"Mission: Impossible (1996)","artsy","[Office Space (1999)]","[Lethal Weapon (1987),American Pie (1999),Shrek 2 (2004),Ghost (1990)]","[Willy Wonka & the Chocolate Factory (1971),Kill Bill: Vol. 1 (2003),Independence Day (a.k.a. ID4) (1996),Star Wars: Episode IV - A New Hope (1977),The Lion King (1994)]"
8,"Mars Attacks! (1996)","heartfelt","[Meet the Parents (2000),Monty Python and the Holy Grail (1975),The Mask (1994)]","[Jaws (1975),Young Frankenstein (1974),Catch Me If You Can (2002)]","[Independence Day (a.k.a. ID4) (1996),Finding Nemo (2003),Toy Story 2 (1999),Monsters, Inc. (2001)]"
9,"Twister (1996)","artsy","[Chicken Run (2000)]","[Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),The Crow (1994),Back to the Future Part II (1989),Robin Hood: Men in Tights (1993)]","[Babe (1995),Stand by Me (1986),The Dark Knight (2008),Forrest Gump (1994),The Lord of the Rings: The Return of the King (2003)]"
9,"Back to the Future Part III (1990)","heartfelt","[Liar Liar (1997)]","[The Dark Knight (2008),The Lord of the Rings: The Return of the King (2003),Face/Off (1997),Die Hard: With a Vengeance (1995),Interview with the Vampire: The Vampire Chronicles (1994)]","[Babe (1995),Home Alone (1990),The Lion King (1994),The Little Mermaid (1989)]"
10,"Chicken Run (2000)","artsy","[Pretty Woman (1990),The Godfather (1972),The Terminator (1984)]","[Austin Powers: The Spy Who Shagged Me (1999)]","[The Lion King (1994),The Princess Bride (1987),Back to the Future Part III (1990),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Jurassic Park (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]"
10,"The Little Mermaid (1989)","heartfelt","[Men in Black (a.k.a. MIB) (1997),Mission: Impossible (1996),Spider-Man 2 (2004),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Ghostbusters (a.k.a. Ghost Busters) (1984),Robin Hood: Men in Tights (1993)]","[Toy Story 2 (1999),Toy Story (1995)]","[Mary Poppins (1964),Forrest Gump (1994)]"
11,"Terminator 2: Judgment Day (1991)","artsy",NULL,"[Spider-Man 2 (2004),The Terminator (1984),Die Hard (1988),Ocean's Eleven (2001),The Breakfast Club (1985)]","[Snow White and the Seven Dwarfs (1937),Toy Story (1995),Shrek 2 (2004),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),The Mask (1994)]"
11,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","heartfelt","[Shrek (2001),Snow White and the Seven Dwarfs (1937),Finding Nemo (2003),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Toy Story 2 (1999)]","[Pulp Fiction (1994),The Lost World: Jurassic Park (1997)]","[Full Metal Jacket (1987),Fight Club (1999),The Matrix Reloaded (2003)]"
12,"Goodfellas (1990)","artsy","[American Pie (1999),Die Hard (1988),Liar Liar (1997),Armageddon (1998),Dumb & Dumber (Dumb and Dumber) (1994),Happy Gilmore (1996),Spider-Man 2 (2004),The Dark Knight (2008),Meet the Parents (2000)]","[E.T. the Extra-Terrestrial (1982)]",NULL
12,"Austin Powers: The Spy Who Shagged Me (1999)","heartfelt","[Donnie Darko (2001),The Usual Suspects (1995)]","[My Cousin Vinny (1992)]","[Memento (2000),Armageddon (1998),Home Alone (1990),E.T. the Extra-Terrestrial (1982),Shrek (2001),Titanic (1997),Die Hard (1988)]"
13,"Beauty and the Beast (1991)","artsy","[Titanic (1997),Ace Ventura: When Nature Calls (1995),Men in Black (a.k.a. MIB) (1997)]","[The Mask (1994),The Terminator (1984),Charlie's Angels (2000),Terminator 2: Judgment Day (1991)]","[Jumanji (1995),Shrek 2 (2004)]"
13,"True Lies (1994)","heartfelt","[Ace Ventura: Pet Detective (1994),Terminator 2: Judgment Day (1991)]","[Men in Black (a.k.a. MIB) (1997),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Jumanji (1995)]","[Grease (1978),Monsters, Inc. (2001),Home Alone (1990),Shrek (2001),Mrs. Doubtfire (1993)]"
14,"Jumanji (1995)","heartfelt","[The Silence of the Lambs (1991),The Nutty Professor (1996),Chicken Run (2000),The Lost World: Jurassic Park (1997)]","[Congo (1995),Indiana Jones and the Last Crusade (1989)]","[Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001),Aladdin (1992),Braveheart (1995),The Wizard of Oz (1939)]"
15,"Willy Wonka & the Chocolate Factory (1971)","artsy","[Arachnophobia (1990),The Lost World: Jurassic Park (1997),Fight Club (1999),What's Eating Gilbert Grape (1993),Groundhog Day (1993),Natural Born Killers (1994)]","[Ghostbusters (a.k.a. Ghost Busters) (1984),E.T. the Extra-Terrestrial (1982),Men in Black (a.k.a. MIB) (1997),Home Alone (1990)]",NULL
15,"Forrest Gump (1994)","heartfelt","[Young Frankenstein (1974),Monsters, Inc. (2001),Mary Poppins (1964),The Mummy (1999),Snow White and the Seven Dwarfs (1937),Aladdin (1992),Shrek (2001)]","[Tombstone (1993),Top Gun (1986),The Sixth Sense (1999)]",NULL
16,"Indiana Jones and the Temple of Doom (1984)","artsy","[Erin Brockovich (2000),The Fugitive (1993),Aliens (1986),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]","[Boogie Nights (1997),Sin City (2005),Batman Forever (1995),The Mask (1994)]","[Who Framed Roger Rabbit? (1988),The Lost World: Jurassic Park (1997)]"
16,"Ace Ventura: Pet Detective (1994)","heartfelt","[The Sixth Sense (1999),The Rock (1996),GoldenEye (1995),Psycho (1960),Mission: Impossible (1996),Beautiful Mind, A (2001)]","[The Mummy (1999)]","[Austin Powers: The Spy Who Shagged Me (1999),Back to the Future Part III (1990),The Mask (1994)]"
17,"Aliens (1986)","artsy",NULL,"[Kill Bill: Vol. 1 (2003),Aladdin (1992),Groundhog Day (1993),Jaws (1975),Rocky (1976)]","[Superman (1978),Sin City (2005),Speed (1994),The Rock (1996),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]"
17,"Star Wars: Episode VI - Return of the Jedi (1983)","heartfelt","[Ace Ventura: Pet Detective (1994)]","[Ghostbusters (a.k.a. Ghost Busters) (1984),The Lord of the Rings: The Fellowship of the Ring (2001),Happy Gilmore (1996),Brazil (1985),Seven (a.k.a. Se7en) (1995)]","[The Silence of the Lambs (1991),Ghost (1990),Grease (1978),Blade Runner (1982)]"
18,"The Godfather: Part II (1974)","artsy","[Erin Brockovich (2000),When Harry Met Sally... (1989)]","[Contact (1997),My Cousin Vinny (1992),The Godfather (1972)]","[The Sound of Music (1965),Clueless (1995),Batman (1989),Ghostbusters (a.k.a. Ghost Busters) (1984),Spider-Man 2 (2004)]"
18,"Batman Forever (1995)","heartfelt","[Apollo 13 (1995),The Godfather (1972)]","[Speed (1994),X2: X-Men United (2003),Spider-Man (2002),Honey, I Shrunk the Kids (1989)]","[Few Good Men, A (1992),The Breakfast Club (1985),Clueless (1995),The Little Mermaid (1989)]"
19,"Men in Black (a.k.a. MIB) (1997)","artsy","[Shrek 2 (2004),Ghostbusters (a.k.a. Ghost Busters) (1984),The Truman Show (1998),Honey, I Shrunk the Kids (1989),Home Alone (1990)]","[Beauty and the Beast (1991),Bug's Life, A (1998),Austin Powers: International Man of Mystery (1997),Addams Family Values (1993)]","[Inception (2010)]"
19,"Ace Ventura: Pet Detective (1994)","heartfelt","[Ace Ventura: When Nature Calls (1995),The Blair Witch Project (1999),Monty Python and the Holy Grail (1975),Charlie's Angels (2000),The Shining (1980),The Lord of the Rings: The Two Towers (2002)]","[Jurassic Park (1993),Jumanji (1995)]","[The Nightmare Before Christmas (1993),Finding Nemo (2003)]"
20,"Liar Liar (1997)","artsy","[Addams Family Values (1993),Beauty and the Beast (1991),Back to the Future Part III (1990),Ace Ventura: Pet Detective (1994),Indiana Jones and the Last Crusade (1989)]","[Ocean's Eleven (2001),The Mask (1994)]","[Gladiator (2000),Braveheart (1995),The Lost World: Jurassic Park (1997)]"
20,"Jurassic Park (1993)","heartfelt","[Dumb & Dumber (Dumb and Dumber) (1994),Liar Liar (1997),Die Hard 2 (1990),GoldenEye (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Men in Black (a.k.a. MIB) (1997)]","[Desperado (1995)]","[Toy Story 2 (1999),Snow White and the Seven Dwarfs (1937),Back to the Future Part II (1989)]"
21,"Top Gun (1986)","artsy","[American Beauty (1999),Fight Club (1999),Speed (1994)]","[Apollo 13 (1995),In the Line of Fire (1993),Unforgiven (1992)]","[Scream (1996),Indiana Jones and the Temple of Doom (1984),Goodfellas (1990),Pulp Fiction (1994)]"
21,"Ace Ventura: When Nature Calls (1995)","heartfelt","[Get Shorty (1995),Speed (1994),Ocean's Eleven (2001),Total Recall (1990)]","[Young Frankenstein (1974),Coneheads (1993),Ace Ventura: Pet Detective (1994)]","[My Cousin Vinny (1992),Toy Story (1995),The Incredibles (2004)]"
22,"The Santa Clause (1994)","artsy","[Home Alone (1990),Air Force One (1997),It's a Wonderful Life (1946)]","[Honey, I Shrunk the Kids (1989),Ghost (1990),Leaving Las Vegas (1995),Indiana Jones and the Last Crusade (1989),Dumb & Dumber (Dumb and Dumber) (1994)]","[Shrek 2 (2004),The Matrix Reloaded (2003)]"
22,"Goodfellas (1990)","heartfelt","[Jerry Maguire (1996),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Eternal Sunshine of the Spotless Mind (2004),Willy Wonka & the Chocolate Factory (1971)]","[The Godfather (1972),Honey, I Shrunk the Kids (1989),Jumanji (1995),The Santa Clause (1994),Ocean's Eleven (2001),Back to the Future Part III (1990)]",NULL
23,"Big (1988)","artsy","[Pretty Woman (1990),American Pie (1999),When Harry Met Sally... (1989)]","[Catch Me If You Can (2002)]","[Spider-Man 2 (2004),The Terminator (1984),The Lion King (1994),Memento (2000),Jurassic Park (1993),The Sixth Sense (1999)]"
23,"Home Alone (1990)","heartfelt","[Clueless (1995),Dumb & Dumber (Dumb and Dumber) (1994)]","[Meet the Parents (2000),The Little Mermaid (1989),Pirates of the Caribbean: The Curse of the Black Pearl (2003),The Princess Bride (1987),Beauty and the Beast (1991),Catch Me If You Can (2002)]","[When Harry Met Sally... (1989),Donnie Darko (2001)]"
24,"Independence Day (a.k.a. ID4) (1996)","artsy","[The Matrix Reloaded (2003)]","[Mission: Impossible (1996),Saving Private Ryan (1998),The Silence of the Lambs (1991)]","[Chicken Run (2000),Monsters, Inc. (2001),Beetlejuice (1988),Toy Story 2 (1999),Edward Scissorhands (1990),Star Wars: Episode VI - Return of the Jedi (1983)]"
24,"The Mask (1994)","heartfelt",NULL,"[The Truth About Cats & Dogs (1996),Beetlejuice (1988),Charlie's Angels (2000)]","[Spider-Man 2 (2004),The Wizard of Oz (1939),The Lion King (1994),Toy Story 2 (1999),American History X (1998),Bug's Life, A (1998),X2: X-Men United (2003)]"
25,"My Cousin Vinny (1992)","artsy","[Home Alone (1990),True Lies (1994),Charlie's Angels (2000),The Lost World: Jurassic Park (1997)]","[As Good as It Gets (1997)]","[Braveheart (1995),Dead Poets Society (1989),The Sound of Music (1965),The Matrix Reloaded (2003),V for Vendetta (2006)]"
25,"Rear Window (1954)","heartfelt","[Donnie Darko (2001),X2: X-Men United (2003),Mission: Impossible II (2000),The Abyss (1989),Pulp Fiction (1994),Batman Begins (2005),The Lost World: Jurassic Park (1997)]","[Rocky (1976),The Godfather (1972)]",NULL
26,"To Kill a Mockingbird (1962)","artsy","[Back to the Future Part III (1990),Die Hard (1988),Shrek 2 (2004),Batman (1989),Batman Forever (1995),The Cable Guy (1996),As Good as It Gets (1997),Spider-Man 2 (2004)]","[Mr. Holland's Opus (1995),Forrest Gump (1994)]",NULL
26,"Forrest Gump (1994)","heartfelt","[Honey, I Shrunk the Kids (1989),Batman (1989),Alien (1979),Babe (1995),Kill Bill: Vol. 2 (2004),The Dark Knight (2008),The Cable Guy (1996),Inception (2010)]","[Braveheart (1995)]","[It's a Wonderful Life (1946)]"
27,"The Hunt for Red October (1990)","artsy","[The Blair Witch Project (1999),Shrek 2 (2004),Rocky (1976),Snow White and the Seven Dwarfs (1937),The Truman Show (1998),The Mask (1994)]","[Saving Private Ryan (1998),The Terminator (1984),Mission: Impossible (1996),Ghostbusters (a.k.a. Ghost Busters) (1984)]",NULL
27,"The Lost World: Jurassic Park (1997)","heartfelt","[Coneheads (1993),V for Vendetta (2006),The Blair Witch Project (1999)]","[Bug's Life, A (1998),Who Framed Roger Rabbit? (1988),Happy Gilmore (1996),Waterworld (1995)]","[Grease (1978),Toy Story (1995),The Wizard of Oz (1939)]"
28,"Spider-Man (2002)","artsy","[Catch Me If You Can (2002),What's Eating Gilbert Grape (1993),Forrest Gump (1994)]","[Toy Story 2 (1999),Finding Nemo (2003),Snow White and the Seven Dwarfs (1937),The Incredibles (2004),Beauty and the Beast (1991)]","[Harry Potter and the Chamber of Secrets (2002),Men in Black (a.k.a. MIB) (1997)]"
28,"Beauty and the Beast (1991)","heartfelt","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Spider-Man 2 (2004),The Mummy (1999),Monsters, Inc. (2001)]","[Snow White and the Seven Dwarfs (1937),Shrek (2001),Shrek 2 (2004)]","[The Lion King (1994),Titanic (1997)]"
29,"American Pie (1999)","artsy",NULL,"[When Harry Met Sally... (1989),Batman (1989),X-Men (2000),Ghostbusters (a.k.a. Ghost Busters) (1984),Austin Powers: The Spy Who Shagged Me (1999),Home Alone (1990)]","[Jerry Maguire (1996),V for Vendetta (2006),Inception (2010),The Lord of the Rings: The Fellowship of the Ring (2001)]"
29,"The Birdcage (1996)","heartfelt","[The Incredibles (2004),Inception (2010),Back to the Future (1985),The Graduate (1967),Robin Hood: Men in Tights (1993),Dogma (1999),Jurassic Park (1993)]","[Titanic (1997),The Nightmare Before Christmas (1993),Eternal Sunshine of the Spotless Mind (2004)]",NULL
30,"Home Alone (1990)","artsy","[Species (1995),Con Air (1997),What's Eating Gilbert Grape (1993),Honey, I Shrunk the Kids (1989)]","[The Santa Clause (1994),GoldenEye (1995),The Princess Bride (1987)]","[Spider-Man 2 (2004),Inception (2010),Platoon (1986)]"
30,"The Fugitive (1993)","heartfelt","[Ocean's Eleven (2001),Forrest Gump (1994),Austin Powers: The Spy Who Shagged Me (1999),Four Weddings and a Funeral (1994)]","[Fish Called Wanda, A (1988),Clockwork Orange, A (1971),Groundhog Day (1993)]","[Grease (1978),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mary Poppins (1964)]"
31,"Home Alone (1990)","artsy","[The Green Mile (1999),American Beauty (1999),Pretty Woman (1990),E.T. the Extra-Terrestrial (1982)]","[Speed (1994),Gladiator (2000)]","[Shrek (2001),Shrek 2 (2004),The Lost World: Jurassic Park (1997)]"
31,"Top Gun (1986)","heartfelt","[Monty Python and the Holy Grail (1975),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Finding Nemo (2003),Shrek 2 (2004)]","[Home Alone (1990),The Lion King (1994),Grease (1978)]","[Titanic (1997),Forrest Gump (1994),Gladiator (2000)]"
32,"Home Alone (1990)","artsy","[Meet the Parents (2000),Honey, I Shrunk the Kids (1989),Monsters, Inc. (2001)]","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Snow White and the Seven Dwarfs (1937)]","[Life Is Beautiful (La Vita è bella) (1997),Austin Powers: International Man of Mystery (1997),The Big Lebowski (1998),Mary Poppins (1964),E.T. the Extra-Terrestrial (1982)]"
32,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","heartfelt","[Austin Powers: International Man of Mystery (1997),Charlie's Angels (2000),The Silence of the Lambs (1991)]","[The Shining (1980),Meet the Parents (2000),Die Hard 2 (1990)]","[Aladdin (1992),Babe (1995),Seven (a.k.a. Se7en) (1995),Forrest Gump (1994)]"
33,"The Truman Show (1998)","artsy","[Addams Family Values (1993),The Incredibles (2004),The Wizard of Oz (1939),Happy Gilmore (1996),Honey, I Shrunk the Kids (1989)]","[E.T. the Extra-Terrestrial (1982),Austin Powers: The Spy Who Shagged Me (1999)]","[What's Eating Gilbert Grape (1993),The Lion King (1994),The Lord of the Rings: The Fellowship of the Ring (2001)]"
33,"The Wizard of Oz (1939)","heartfelt","[Batman (1989),Ghostbusters (a.k.a. Ghost Busters) (1984),Austin Powers: International Man of Mystery (1997),Austin Powers: The Spy Who Shagged Me (1999),Jumanji (1995),Honey, I Shrunk the Kids (1989),Beverly Hills Cop III (1994),Happy Gilmore (1996)]","[Toy Story 2 (1999)]","[Good Will Hunting (1997)]"
34,"Die Hard (1988)","artsy","[Mrs. Doubtfire (1993),My Cousin Vinny (1992)]","[The Godfather (1972),The Incredibles (2004)]","[The Birdcage (1996),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Much Ado About Nothing (1993),The English Patient (1996),Titanic (1997),The Talented Mr. Ripley (1999)]"
34,"Sense and Sensibility (1995)","heartfelt","[Donnie Darko (2001),The Incredibles (2004),The Silence of the Lambs (1991),The Lord of the Rings: The Fellowship of the Ring (2001),Star Trek: First Contact (1996)]","[The Lion King (1994),The Little Mermaid (1989),Babe (1995),Mary Poppins (1964),Mrs. Doubtfire (1993)]",NULL
35,"Mary Poppins (1964)","artsy","[Clueless (1995),The Blair Witch Project (1999),It's a Wonderful Life (1946),Dances with Wolves (1990),Back to the Future Part II (1989),Mission: Impossible II (2000)]","[Addams Family Values (1993),Gone with the Wind (1939),Titanic (1997)]","[Monsters, Inc. (2001)]"
35,"Speed (1994)","heartfelt","[Who Framed Roger Rabbit? (1988)]","[GoldenEye (1995),Ransom (1996),Demolition Man (1993),The Departed (2006),Con Air (1997)]","[Edward Scissorhands (1990),Mary Poppins (1964),Willy Wonka & the Chocolate Factory (1971),The Nutty Professor (1996)]"
36,"Independence Day (a.k.a. ID4) (1996)","artsy","[As Good as It Gets (1997),Meet the Parents (2000)]","[The Sixth Sense (1999),Men in Black (a.k.a. MIB) (1997),Eyes Wide Shut (1999)]","[The Wizard of Oz (1939),The Mask (1994),Last Action Hero (1993),Beetlejuice (1988),Star Wars: Episode V - The Empire Strikes Back (1980)]"
36,"The Little Mermaid (1989)","heartfelt","[Hot Shots! Part Deux (1993),The Cable Guy (1996),Pulp Fiction (1994),Outbreak (1995),Traffic (2000),Catch Me If You Can (2002),The Hunt for Red October (1990),Office Space (1999),Back to the Future Part III (1990)]","[Finding Nemo (2003)]",NULL
37,"Legends of the Fall (1994)","artsy","[Jumanji (1995),Office Space (1999),Maverick (1994),Chasing Amy (1997),Stargate (1994),Fish Called Wanda, A (1988),Top Gun (1986),Shrek (2001),Scream (1996),The Mummy (1999)]",NULL,NULL
37,"Lethal Weapon (1987)","heartfelt","[Pulp Fiction (1994)]","[Predator (1987),Total Recall (1990),Stargate (1994),Back to the Future Part II (1989)]","[Dead Poets Society (1989),Beautiful Mind, A (2001),Edward Scissorhands (1990),Ransom (1996),The Incredibles (2004)]"
38,"Back to the Future Part III (1990)","artsy","[Forrest Gump (1994)]","[The Santa Clause (1994),Mission: Impossible (1996),The Lost World: Jurassic Park (1997)]","[Star Wars: Episode V - The Empire Strikes Back (1980),Shrek (2001),Jurassic Park (1993),Monsters, Inc. (2001),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode I - The Phantom Menace (1999)]"
38,"Star Wars: Episode IV - A New Hope (1977)","heartfelt","[Shrek (2001),Back to the Future Part II (1989),Ace Ventura: When Nature Calls (1995),Minority Report (2002)]","[The Lord of the Rings: The Two Towers (2002),Cast Away (2000),Star Wars: Episode V - The Empire Strikes Back (1980)]","[Beauty and the Beast (1991),Forrest Gump (1994),Rain Man (1988)]"
39,"Die Hard (1988)","artsy","[Naked Gun 33 1/3: The Final Insult (1994),Fargo (1996),Fish Called Wanda, A (1988)]","[Pirates of the Caribbean: The Curse of the Black Pearl (2003),Ghostbusters (a.k.a. Ghost Busters) (1984),Beetlejuice (1988),Speed (1994),Gladiator (2000),Saving Private Ryan (1998)]","[Grease (1978)]"
39,"Forrest Gump (1994)","heartfelt","[Ghostbusters (a.k.a. Ghost Busters) (1984),Catch Me If You Can (2002),The Santa Clause (1994),Batman (1989),Die Hard 2 (1990),Sin City (2005)]","[Much Ado About Nothing (1993),Cast Away (2000),Jerry Maguire (1996)]","[One Flew Over the Cuckoo's Nest (1975)]"
40,"The Truman Show (1998)","artsy","[Blade Runner (1982),Shrek 2 (2004),Die Hard (1988),Top Gun (1986),Back to the Future Part III (1990),Full Metal Jacket (1987),The Lion King (1994),Close Encounters of the Third Kind (1977),Saving Private Ryan (1998)]","[Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)]",NULL
40,"Eraser (1996)","heartfelt","[Scream (1996)]","[Die Hard: With a Vengeance (1995),Amadeus (1984),Inception (2010),In the Line of Fire (1993),Clueless (1995)]","[E.T. the Extra-Terrestrial (1982),Finding Nemo (2003),Bug's Life, A (1998),The Wizard of Oz (1939)]"
41,"The Mummy (1999)","artsy","[Air Force One (1997),GoldenEye (1995),The Firm (1993)]","[Scream (1996),The Mask (1994)]","[Die Hard (1988),Ocean's Eleven (2001),Cast Away (2000),Full Metal Jacket (1987),North by Northwest (1959)]"
41,"Rain Man (1988)","heartfelt","[The Lord of the Rings: The Fellowship of the Ring (2001),Amadeus (1984),Rushmore (1998),Jaws (1975),Eyes Wide Shut (1999),Robin Hood: Men in Tights (1993)]","[Titanic (1997),Apollo 13 (1995),Jumanji (1995)]","[The Sound of Music (1965)]"
42,"Outbreak (1995)","artsy",NULL,"[X-Men (2000),Star Wars: Episode I - The Phantom Menace (1999),While You Were Sleeping (1995),Twister (1996),Dances with Wolves (1990),The Lord of the Rings: The Return of the King (2003),Austin Powers: International Man of Mystery (1997),Office Space (1999)]","[The Truth About Cats & Dogs (1996),The Birdcage (1996)]"
42,"2001: A Space Odyssey (1968)","heartfelt","[Fargo (1996),Inception (2010)]","[Ghostbusters (a.k.a. Ghost Busters) (1984),Clueless (1995)]","[The Lion King (1994),Honey, I Shrunk the Kids (1989),Shakespeare in Love (1998),The Breakfast Club (1985),Dead Poets Society (1989),The Sound of Music (1965)]"
43,"Jurassic Park (1993)","artsy",NULL,"[Back to the Future Part III (1990),The Godfather (1972),Bug's Life, A (1998),The Lord of the Rings: The Fellowship of the Ring (2001),Monty Python's Life of Brian (1979),Happy Gilmore (1996),Stand by Me (1986),Natural Born Killers (1994),To Kill a Mockingbird (1962),Ghost (1990)]",NULL
